suite,m,n,k,dtype,eager_ms,compiled_ms,custom_op_mm_ms,decompose_k_ms,custom_op_speedup_vs_eager,custom_op_speedup_vs_compiled,decompose_k_speedup_vs_eager,decompose_k_speedup_vs_compiled,custom_op_autotune_name,custom_op_best_impl,custom_op_k_splits,custom_op_choice_name,standalone_split_k,standalone_block_m,standalone_block_n,standalone_block_k,tlx_ms,tlx_speedup_vs_eager,tlx_speedup_vs_compiled,tlx_speedup_vs_decompose_k,tlx_split_k,tlx_block_m,tlx_block_n,tlx_block_k
matmul-bf16,48,48,20480,bfloat16,0.013856000266969204,0.012223999947309494,0.012032000347971916,0.011552000418305397,1.1515957335643476,1.0159574130472777,1.1994459630570018,1.0581717022741135,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_313,40,16,16,64,0.01119999960064888,1.2371429250913943,1.0914286056404223,1.0314286455542483,40,64,32,512
matmul-bf16,48,48,24576,bfloat16,0.014112000353634357,0.012575999833643436,0.01228800043463707,0.01196799986064434,1.1484374881576216,1.0234374502620103,1.1791444283050474,1.0508021373728829,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_334,48,16,16,64,0.011711999773979187,1.2049180862338562,1.073770498321202,1.0218579313187757,48,64,32,512
matmul-bf16,48,48,28672,bfloat16,0.014495999552309513,0.012896000407636166,0.01268799975514412,0.012256000190973282,1.1424968341784822,1.016393494365234,1.1827675690627046,1.0522193380132494,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_352,56,16,16,64,0.012191999703645706,1.188976370133511,1.0577428412978016,1.005249383930713,56,64,32,512
matmul-bf16,48,48,32768,bfloat16,0.014527999795973301,0.013391999993473291,0.012927999719977379,0.012912000063806772,1.1237623847967348,1.0358911110416333,1.125154873310161,1.0371747155587454,static_mm_fused_autotune,decompose_k_impl,128,static_mm_fused_autotune_decompose_k_impl_k_splits__128_370,64,64,32,64,0.01244799979031086,1.1670951189508736,1.0758354931767602,1.0372750868663314,64,64,32,512
matmul-bf16,64,64,8192,bfloat16,0.013024000450968742,0.01142400037497282,0.011071999557316303,0.010623999871313572,1.1763006657964117,1.0317919826346016,1.225903671755074,1.0753012531390718,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_383,32,16,16,64,0.00979200005531311,1.330065398018657,1.1666666983701854,1.0849673009906715,32,64,32,256
matmul-bf16,64,64,12288,bfloat16,0.013344000093638897,0.012095999903976917,0.011648000217974186,0.011264000087976456,1.1456043822052469,1.038461510784608,1.1846590899695302,1.073863619451545,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_402,48,64,32,64,0.010495999827980995,1.2713414931720461,1.1524390341290331,1.073170757677422,48,64,32,256
matmul-bf16,64,64,16384,bfloat16,0.013567999936640263,0.012319999746978283,0.012160000391304493,0.011744000017642975,1.1157894325679971,1.0131578413260747,1.1553133443679409,1.0490462984051419,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_418,64,64,32,64,0.010944000445306301,1.239766025636389,1.1257309252269014,1.0730993731528748,64,64,32,256
matmul-bf16,64,64,20480,bfloat16,0.014175999909639359,0.012543999589979649,0.01244799979031086,0.012191999703645706,1.1388174926443622,1.0077120662986765,1.1627296796439708,1.0288713824548967,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_437,32,64,32,128,0.011648000217974186,1.2170329365004804,1.076923021569216,1.0467032516733703,40,64,32,512
matmul-bf16,64,64,24576,bfloat16,0.014879999682307243,0.013248000293970108,0.013055999763309956,0.012736000120639801,1.1397058786813938,1.0147059232644684,1.1683416725313078,1.0402010182538053,static_mm_fused_autotune,decompose_k_impl,32,static_mm_fused_autotune_decompose_k_impl_k_splits__32_456,64,64,32,64,0.012223999947309494,1.2172774661687016,1.0837696622279516,1.0418848311139757,48,64,32,512
matmul-bf16,64,64,28672,bfloat16,0.01484800036996603,0.013663999736309052,0.013504000380635262,0.01321600005030632,1.0995260627553052,1.0118482931845314,1.1234867065259948,1.0338982811968398,static_mm_fused_autotune,decompose_k_impl,64,static_mm_fused_autotune_decompose_k_impl_k_splits__64_476,32,64,32,128,0.012671999633312225,1.1717172348185303,1.0782828386759933,1.0429293270782634,56,64,32,512
