suite,m,n,k,dtype,eager_ms,compiled_ms,custom_op_mm_relu_ms,decompose_k_unfused_ms,decompose_k_fused_ms,custom_op_speedup_vs_eager,custom_op_speedup_vs_compiled,decompose_k_fused_speedup_vs_eager,decompose_k_fused_speedup_vs_compiled,decompose_k_fused_vs_unfused_speedup,custom_op_autotune_name,custom_op_best_impl,custom_op_k_splits,custom_op_choice_name,standalone_split_k,standalone_block_m,standalone_block_n,standalone_block_k
epilogue-bf16,32,32,20480,bfloat16,0.017983999103307724,0.01571200042963028,0.01104000024497509,0.01414399966597557,0.01056000031530857,1.628985389877435,1.4231884131326604,1.703030167265882,1.4878787841372487,1.3393938677701898,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_191,80,16,16,64
epilogue-bf16,32,32,24576,bfloat16,0.016127999871969223,0.015904000028967857,0.011168000288307667,0.014431999996304512,0.010751999914646149,1.444126025753637,1.4240687337390692,1.5,1.4791666811030906,1.3422619150736361,static_mm_relu_fused_autotune,decompose_k_relu_impl,128,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__128_210,96,16,16,64
epilogue-bf16,32,32,28672,bfloat16,0.01756799966096878,0.015296000055968761,0.011648000217974186,0.014816000126302242,0.011168000288307667,1.5082417009109739,1.3131867934175772,1.5730658316119126,1.3696274768172152,1.3266475415311232,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_228,112,64,32,64
epilogue-bf16,32,32,32768,bfloat16,0.01788800023496151,0.015519999898970127,0.011744000017642975,0.014240000396966934,0.01152000017464161,1.5231607806614802,1.321525874970579,1.5527777746338456,1.3472221930285655,1.2361111268307723,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_245,128,16,16,64
epilogue-bf16,48,48,8192,bfloat16,0.01571200042963028,0.013567999936640263,0.010784000158309937,0.012671999633312225,0.009983999654650688,1.4569733122196706,1.2581602130434903,1.5737180461851688,1.3589743996355306,1.26923077640627,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_260,32,16,16,64
epilogue-bf16,48,48,12288,bfloat16,0.015744000673294067,0.013791999779641628,0.011071999557316303,0.014015999622642994,0.01056000031530857,1.4219654355830007,1.245664769786589,1.4909091101512923,1.3060605461959796,1.3272726519074385,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_279,48,16,16,64
epilogue-bf16,48,48,16384,bfloat16,0.015887999907135963,0.01603199914097786,0.011103999800980091,0.0144640002399683,0.011071999557316303,1.4308357521524464,1.4438039830983067,1.4349711472520137,1.4479768589210267,1.3063584554075045,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_295,32,16,16,64
epilogue-bf16,48,48,20480,bfloat16,0.01651199907064438,0.014720000326633453,0.01179199991747737,0.01414399966597557,0.01152000017464161,1.4002713014076027,1.2483039713065451,1.4333332309309685,1.2777777867604414,1.2277777301696609,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_314,40,16,16,64
epilogue-bf16,48,48,24576,bfloat16,0.016607999801635742,0.015039999969303608,0.011935999616980553,0.01563199982047081,0.01190400030463934,1.3914209395590669,1.2600536571656051,1.3951612379548677,1.263440825303245,1.3131719943235014,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_333,48,16,16,64
epilogue-bf16,48,48,28672,bfloat16,0.019168000668287277,0.01548799965530634,0.012480000033974648,0.016063999384641647,0.01235199999064207,1.53589748526488,1.2410256100274786,1.5518135267818198,1.253885983406745,1.3005180858817846,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_352,56,16,16,64
epilogue-bf16,48,48,32768,bfloat16,0.018271999433636665,0.016863999888300896,0.012768000364303589,0.016575999557971954,0.012896000407636166,1.431077609045266,1.320801958578321,1.4168733604270969,1.3076922576952728,1.2853597265828818,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_369,64,64,32,64
epilogue-bf16,64,64,8192,bfloat16,0.01548799965530634,0.01484800036996603,0.010784000158309937,0.013120000250637531,0.010432000271975994,1.4362017273684473,1.3768546135011372,1.484662504938054,1.4233128817924745,1.2576687028931974,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_383,32,64,32,64
epilogue-bf16,64,64,12288,bfloat16,0.015936000272631645,0.014527999795973301,0.011615999974310398,0.013728000223636627,0.011168000288307667,1.3719008529506915,1.2506886904358638,1.426934084996025,1.3008595470026432,1.2292263493231774,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_402,48,64,32,64
epilogue-bf16,64,64,16384,bfloat16,0.0161920003592968,0.015072000212967396,0.012480000033974648,0.014368000440299511,0.011744000017642975,1.2974359226936596,1.2076923214692687,1.3787466225282363,1.2833787628001343,1.2234332781602952,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_418,32,64,32,128
epilogue-bf16,64,64,20480,bfloat16,0.016863999888300896,0.015424000099301338,0.012191999703645706,0.015231999568641186,0.012095999903976917,1.383202124197735,1.2650919024127916,1.394179896013091,1.275132293464242,1.2592592335945056,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_437,32,64,32,128
epilogue-bf16,64,64,24576,bfloat16,0.01788800023496151,0.017503999173641205,0.012703999876976013,0.015200000256299973,0.012543999589979649,1.4080604855310708,1.3778337014442539,1.426020473505973,1.3954081429995968,1.2117347539170824,static_mm_relu_fused_autotune,decompose_k_relu_impl,64,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__64_457,48,64,32,64
epilogue-bf16,64,64,28672,bfloat16,0.019231999292969704,0.0163199994713068,0.013151999562978745,0.01664000004529953,0.012927999719977379,1.4622870994540942,1.2408759134425145,1.4876237399085708,1.2623762240718364,1.2871287442546948,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_475,56,64,32,64
epilogue-bf16,64,64,32768,bfloat16,0.01945599913597107,0.01648000068962574,0.013887999579310417,0.016127999871969223,0.013504000380635262,1.4009216392082524,1.1866360303017827,1.4407581892452384,1.2203791635890402,1.1943127530636608,static_mm_relu_fused_autotune,decompose_k_relu_impl,32,static_mm_relu_fused_autotune_decompose_k_relu_impl_k_splits__32_492,64,64,32,64
